Format Version,1.23,Take Name,Take 2026-05-07 12.43.55 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-07 12.43.55.094 PM,Capture Start Frame,1064082,Total Frames in Take,88467,Total Exported Frames,88467,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Phantom4,Phantom4,Phantom4,Phantom4,Phantom4,Phantom4,Vysavac3,Vysavac3,Vysavac3,Vysavac3,Vysavac3,Vysavac3
,ID,24F82243486511F1D2DF7E9369840AA4,24F82243486511F1D2DF7E9369840AA4,24F82243486511F1D2DF7E9369840AA4,24F82243486511F1D2DF7E9369840AA4,24F82243486511F1D2DF7E9369840AA4,24F82243486511F1D2DF7E9369840AA4,4E5AE26449F511F1D2DF7E9369840DA4,4E5AE26449F511F1D2DF7E9369840DA4,4E5AE26449F511F1D2DF7E9369840DA4,4E5AE26449F511F1D2DF7E9369840DA4,4E5AE26449F511F1D2DF7E9369840DA4,4E5AE26449F511F1D2DF7E9369840DA4
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.0,,,,,,,,,,,,
1,0.008,,,,,,,,,,,,
2,0.017,,,,,,,,,,,,
3,0.025,,,,,,,,,,,,
4,0.033,,,,,,,,,,,,
5,0.042,,,,,,,,,,,,
6,0.05,,,,,,,,,,,,
7,0.058,,,,,,,,,,,,
8,0.067,,,,,,,,,,,,
9,0.075,,,,,,,,,,,,
10,0.083,,,,,,,,,,,,
11,0.092,,,,,,,,,,,,
12,0.1,,,,,,,,,,,,
13,0.108,,,,,,,,,,,,
14,0.117,,,,,,,,,,,,
15,0.125,,,,,,,,,,,,
16,0.133,,,,,,,,,,,,
17,0.142,,,,,,,,,,,,
18,0.15,,,,,,,,,,,,
19,0.158,,,,,,,,,,,,
20,0.167,,,,,,,,,,,,
21,0.175,,,,,,,,,,,,
22,0.183,,,,,,,,,,,,
23,0.192,,,,,,,,,,,,
24,0.2,,,,,,,,,,,,
25,0.208,,,,,,,,,,,,
26,0.217,,,,,,,,,,,,
27,0.225,,,,,,,,,,,,
28,0.233,,,,,,,,,,,,
29,0.242,,,,,,,,,,,,
30,0.25,,,,,,,,,,,,
31,0.258,,,,,,,,,,,,
32,0.267,,,,,,,,,,,,
33,0.275,,,,,,,,,,,,
34,0.283,,,,,,,,,,,,
35,0.292,,,,,,,,,,,,
36,0.3,,,,,,,,,,,,
37,0.308,,,,,,,,,,,,
38,0.317,,,,,,,,,,,,
39,0.325,,,,,,,,,,,,
40,0.333,,,,,,,,,,,,
41,0.342,,,,,,,,,,,,
42,0.35,,,,,,,,,,,,
43,0.358,,,,,,,,,,,,
44,0.367,,,,,,,,,,,,
45,0.375,,,,,,,,,,,,
46,0.383,,,,,,,,,,,,
47,0.392,,,,,,,,,,,,
48,0.4,,,,,,,,,,,,
49,0.408,,,,,,,,,,,,
50,0.417,,,,,,,,,,,,
51,0.425,,,,,,,,,,,,
52,0.433,,,,,,,,,,,,
53,0.442,,,,,,,,,,,,
54,0.45,,,,,,,,,,,,
55,0.458,,,,,,,,,,,,
56,0.467,,,,,,,,,,,,
57,0.475,,,,,,,,,,,,
58,0.483,,,,,,,,,,,,
59,0.492,,,,,,,,,,,,
60,0.5,,,,,,,,,,,,
61,0.508,,,,,,,,,,,,
62,0.517,,,,,,,,,,,,
63,0.525,,,,,,,,,,,,
64,0.533,,,,,,,,,,,,
65,0.542,,,,,,,,,,,,
66,0.55,,,,,,,,,,,,
67,0.558,,,,,,,,,,,,
68,0.567,,,,,,,,,,,,
69,0.575,,,,,,,,,,,,
70,0.583,,,,,,,,,,,,
71,0.592,,,,,,,,,,,,
72,0.6,,,,,,,,,,,,
73,0.608,,,,,,,,,,,,
74,0.617,,,,,,,,,,,,
75,0.625,,,,,,,,,,,,
76,0.633,,,,,,,,,,,,
77,0.642,,,,,,,,,,,,
78,0.65,,,,,,,,,,,,
79,0.658,,,,,,,,,,,,
80,0.667,,,,,,,,,,,,
81,0.675,,,,,,,,,,,,
82,0.683,,,,,,,,,,,,
83,0.692,,,,,,,,,,,,
84,0.7,,,,,,,,,,,,
85,0.708,,,,,,,,,,,,
86,0.717,,,,,,,,,,,,
87,0.725,,,,,,,,,,,,
88,0.733,,,,,,,,,,,,
89,0.742,,,,,,,,,,,,
90,0.75,,,,,,,,,,,,
91,0.758,,,,,,,,,,,,
92,0.767,,,,,,,,,,,,
93,0.775,,,,,,,,,,,,
94,0.783,,,,,,,,,,,,
95,0.792,,,,,,,,,,,,
96,0.8,,,,,,,,,,,,
97,0.808,,,,,,,,,,,,
98,0.817,,,,,,,,,,,,
99,0.825,,,,,,,,,,,,
100,0.833,,,,,,,,,,,,
101,0.842,,,,,,,,,,,,
102,0.85,,,,,,,,,,,,
103,0.858,,,,,,,,,,,,
104,0.867,,,,,,,,,,,,
105,0.875,,,,,,,,,,,,
106,0.883,,,,,,,,,,,,
107,0.892,,,,,,,,,,,,
108,0.9,,,,,,,,,,,,
109,0.908,,,,,,,,,,,,
110,0.917,,,,,,,,,,,,
111,0.925,,,,,,,,,,,,
112,0.933,,,,,,,,,,,,
113,0.942,,,,,,,,,,,,
114,0.95,,,,,,,,,,,,
115,0.958,,,,,,,,,,,,
116,0.967,,,,,,,,,,,,
117,0.975,,,,,,,,,,,,
118,0.983,,,,,,,,,,,,
119,0.992,,,,,,,,,,,,
120,1.0,,,,,,,,,,,,
